--contingency generator
conID,genID,busID,unitID,q(MW) 
1, '1 ', 8, '1 ', 5.184954088039605
1, '1 ', 1, '1 ', 4.050447736655183
1, '1 ', 3, '1 ', 26.000248493551233
1, '1 ', 2, '1 ', 17.269233839663613
1, '1 ', 6, '1 ', -0.5279741804794897
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg) 
0, 4, 1.0694006296713086, 73.52843794989978
1, 11, 1.0807000566194882, -177.30617562669715
0, 7, 1.0826615049275625, 75.69525910441494
1, 10, 1.0720619714829858, -178.6835484200826
1, 14, 1.0508016444992156, -179.60787857263105
0, 12, 1.0825650720514288, 75.97935850489547
1, 4, 1.0691668963925922, -179.31232494171124
0, 13, 1.0749330156981007, 75.72898966821167
1, 12, 1.0478269177087371, -178.1755549273249
0, 14, 1.0550240548517535, 73.49571495028432
1, 8, 1.0866584507886834, -172.3718504884228
0, 6, 1.1000000000456618, 77.17571114997826
1, 5, 1.072137326896279, -178.36207256119744
1, 6, 1.1000000000454984, -175.58051716745774
0, 5, 1.072242190454467, 74.46687875971074
1, 7, 1.0820899543293505, -177.19797609943063
0, 3, 1.0677901721980816, 71.52700845252207
0, 8, 1.0866584507886428, 80.51804361510486
1, 1, 1.098758554629789, -176.2051039295355
1, 13, 1.0666672658160676, -177.5759280562662
1, 9, 1.0767784428180531, -179.1074206478866
0, 11, 1.08126331798057, 75.51942044808908
0, 9, 1.0778788618894917, 73.81810696548331
1, 3, 1.0677901721981145, 178.69499641264795
1, 2, 1.0862303288724182, -178.1280788081578
0, 1, 1.0987585546297516, 76.62686764728078
0, 2, 1.0862303288723474, 74.70488226531266
0, 10, 1.0730344635341331, 74.21154176907541
--end of bus
--Delta
contingency id,Delta(MW) 
1, 0.00304827030368933 
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar) 
1, 'BL', 1, 2, 'BL', 68.34497150386392, -1.1720289578920529, -67.5944903875577, -2.838761500169312 
1, 'BL', 2, 5, 'BL', 5.076092587921039, 5.105733207148091, -5.039001527122679, -9.022304971882136 
1, 'BL', 4, 9, 'BL', -0.7639416921125355, 5.27698180105952, 0.7639416921125355, -5.14709920173695 
1, 'BL', 4, 7, 'BL', -20.870357100899174, 6.202375963177133, 20.870357100899174, -5.372910269819499 
1, 'BL', 6, 13, 'BL', 36.5157269054219, 10.149951360671935, -35.73044449754258, -8.603485158488411 
1, 'BL', 7, 8, 'BL', -56.1611631834337, -0.43975179329174807, 56.1611631834337, 5.184954088039717 
1, 'BL', 4, 5, 'BL', -43.086567831021966, 6.492089539774042, 43.30829741030027, -5.7926863500051695 
0, 'BL', 12, 13, 'BL', 3.204377626271878, 0.5974568421924573, -3.184348796780739, -0.5793355202719113 
0, 'BL', 1, 5, 'BL', 21.879818911166566, 5.167894930112823, -21.635932817724864, -9.959269602407858 
0, 'BL', 10, 11, 'BL', -13.263854778584715, 1.2263300323207318, 13.390295633487739, -0.9303459372418956 
0, 'BL', 13, 14, 'BL', 12.761711351687296, 0.12889837489797173, -12.520766513451605, 0.3616745064147153 
0, 'BL', 1, 2, 'BL', 68.31318356991005, -1.1627860456273993, -67.56339380395832, -2.8501152070907665 
1, 'BL', 5, 6, 'BL', -24.366135533789233, 23.57961084553915, 24.366135533789233, -21.390070123569558 
0, 'BL', 2, 3, 'BL', 33.22245758145806, 0.5491343994251565, -32.778981136701105, -3.7617155455475313 
0, 'BL', 4, 5, 'BL', -42.49836347484734, 6.622100890219372, 42.71431857490347, -5.940912181354179 
1, 'BL', 9, 14, 'BL', 6.9828634232318905, 7.078371554774094, -6.874479719994724, -6.847824896908833 
0, 'BL', 2, 5, 'BL', 5.099349711710005, 5.032801170439598, -5.0626450342369935, -8.950941662877085 
