--contingency generator
conID,genID,busID,unitID,q(MW) 
1, '1 ', 8, '1 ', 7.747149400778022
1, '1 ', 1, '1 ', 4.492968864705039
1, '1 ', 3, '1 ', 22.681351352918252
1, '1 ', 2, '1 ', 13.691791503678255
1, '1 ', 6, '1 ', -9.435020445354521
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg) 
0, 4, 1.0605171112384129, -4.142777797041258
1, 11, 1.0813140426393801, 14.522170199759266
0, 7, 1.088758892864318, -3.887330841561985
1, 10, 1.0784106571013083, 13.464962173866057
1, 14, 1.0622467326964848, 12.964043222414919
0, 12, 1.0783472794476399, -3.5457297555447127
1, 4, 1.060326860864326, 14.314843721910423
0, 13, 1.0757639858904446, -3.662518606909112
1, 12, 1.0499108786349773, 13.829673370547566
0, 14, 1.0656541846270866, -5.281515666529644
1, 8, 1.100000000043439, 16.588304260567444
0, 6, 1.092574912508763, -2.553502476312528
1, 5, 1.0623880277014288, 15.43791374612779
1, 6, 1.092574912509483, 15.974425594205085
0, 5, 1.0624678212597405, -3.0294659981713674
1, 7, 1.0882986464998634, 14.526375361726288
0, 3, 1.0443527472534428, -7.842663321577534
0, 8, 1.1000000000436954, -1.8268572267967347
1, 1, 1.0943869258575516, 19.430930701720367
1, 13, 1.0690574884800037, 14.414161121745513
1, 9, 1.0838427407339575, 13.330961799511947
0, 11, 1.0817570088825081, -3.947930751966709
0, 9, 1.0847217769947788, -5.057734836312745
1, 3, 1.0443527472542449, 10.621696958858049
1, 2, 1.0770801063981288, 16.700595691823835
0, 1, 1.0943869258572816, 0.9660932970346324
0, 2, 1.0770801063997133, -1.7633836939861982
0, 10, 1.079181809575511, -4.948236903383336
--end of bus
--Delta
contingency id,Delta(MW) 
1, 0.0023056433073162883 
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar) 
1, 'BL', 1, 2, 'BL', 95.83932364627901, -0.2806745913944724, -94.35170439697254, -1.4019548549192677 
1, 'BL', 2, 5, 'BL', 15.835984885185127, 2.066990521462003, -15.704728777728008, -5.625810662149206 
1, 'BL', 4, 9, 'BL', 3.661557817679624, 2.0787184989929415, -3.661557817679624, -1.9963720253130646 
1, 'BL', 4, 7, 'BL', -2.0830761402308875, -2.1320844927519147, 2.0830761402308875, 2.1478915388705673 
1, 'BL', 6, 13, 'BL', 27.505621393831746, 6.0893816737974475, -27.065825847638564, -5.22328695266981 
1, 'BL', 7, 8, 'BL', -24.45205891676594, -6.789357055157893, 24.45205891676594, 7.747149400777971 
1, 'BL', 4, 5, 'BL', -48.990349145314894, 10.855132168276668, 49.28932642231973, -9.912066015866912 
0, 'BL', 12, 13, 'BL', 1.2264618497202378, 0.03932258512753606, -1.223601151566811, -0.03673433441730367 
0, 'BL', 1, 5, 'BL', 38.185207692319224, 4.732369246583232, -37.50082442955842, -7.630423156483744 
0, 'BL', 10, 11, 'BL', -9.462628035217392, 2.688024946028463, 9.530801562611487, -2.528438237843261 
0, 'BL', 13, 14, 'BL', 8.786559818085252, -1.0589820867454591, -8.670872669113123, 1.2945255348545288 
0, 'BL', 1, 2, 'BL', 95.81199158130778, -0.27314336375684434, -94.32521291078126, -1.4120524936288348 
1, 'BL', 5, 6, 'BL', -4.627365565612503, 21.427677126648575, 4.627365565612503, -20.49561216901708 
0, 'BL', 2, 3, 'BL', 61.683745439473924, 3.8192371178777194, -60.126190738838275, -2.1864172422309593 
0, 'BL', 4, 5, 'BL', -48.51111296864383, 10.9716871350156, 48.80473861637415, -10.045501664908898 
1, 'BL', 9, 14, 'BL', 5.569760750227545, 6.047252528403305, -5.496623396302141, -5.891679577775108 
0, 'BL', 2, 5, 'BL', 15.857872733494048, 2.011268350626665, -15.72649743677104, -5.570017903278767 
