--contingency generator
conID,genID,busID,unitID,q(MW) 
1, '1 ', 8, '1 ', 8.795227244564641
1, '1 ', 1, '1 ', -0.33787883053257045
1, '1 ', 3, '1 ', 15.720256625152134
1, '1 ', 2, '1 ', 13.106128687753348
1, '1 ', 6, '1 ', -2.683808870243831
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg) 
0, 4, 1.0605316592060727, 8.353978051975034
1, 11, 1.0827070948940767, -0.44874620456236486
0, 7, 1.0866089879743845, 9.258434592566688
1, 10, 1.0755808136845595, -2.3319925298326023
1, 14, 1.0601275629338198, -2.3095470620470357
0, 12, 1.0848743546013968, 11.207517347304327
1, 4, 1.0603290019177178, -2.256385415775911
0, 13, 1.079182124550454, 10.99202295185203
1, 12, 1.054690812392064, -0.5569741142984588
0, 14, 1.0636792032747018, 8.527988016802617
1, 8, 1.09873358633134, 1.6091551485177618
0, 6, 1.0999999774394935, 12.264372043265459
1, 5, 1.062514151733029, -1.275170976259645
1, 6, 1.0999999717520792, 1.7317646420904063
0, 5, 1.0626036122924354, 9.32436005593405
1, 7, 1.0861294925427618, -1.3988920323405492
0, 3, 1.0598090468880552, 7.630308375307611
0, 8, 1.0987335863806174, 12.264566587142038
1, 1, 1.0802804404065187, 0.5036562534621708
1, 13, 1.0720866555486661, -0.02177362050661469
1, 9, 1.0806415555397868, -2.855667463922809
0, 11, 1.0831953877692693, 10.1461774470453
0, 9, 1.081557054769841, 7.8289678785015
1, 3, 1.0598090468207042, -2.973181025027174
1, 2, 1.0720034722563088, -0.8028464009327787
0, 1, 1.0802804405305908, 11.10636333120139
0, 2, 1.072003472366082, 9.800827695483614
0, 10, 1.076401249346839, 8.32546441365001
--end of bus
--Delta
contingency id,Delta(MW) 
1, 0.0023097846729169505 
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar) 
1, 'BL', 1, 2, 'BL', 44.92231364916813, -2.174073209671178, -44.58705351496701, -2.91708892921838 
1, 'BL', 2, 5, 'BL', 6.613936778372192, 1.7182765515697156, -6.585450963385625, -5.572464568394366 
1, 'BL', 4, 9, 'BL', 2.2237393280288593, 2.689162102488865, -2.2237393280288593, -2.632602282744955 
1, 'BL', 4, 7, 'BL', -8.427131182865892, -0.9471411919677166, 8.427131182865892, 1.075080243979528 
1, 'BL', 6, 13, 'BL', 31.709129805328814, 7.892314471787927, -31.125392904939304, -6.742754290174389 
1, 'BL', 7, 8, 'BL', -35.551165736544476, -6.838164274783367, 35.551165736544476, 8.795227244564671 
1, 'BL', 4, 5, 'BL', -43.103114095353476, 8.554953190634023, 43.33241038536596, -7.831682271350928 
0, 'BL', 12, 13, 'BL', 2.5307527844982474, 0.29652597287599747, -2.5185657710167106, -0.285499627345132 
0, 'BL', 1, 5, 'BL', 17.133340285577987, 1.7892909210156063, -16.987377549912097, -6.835230886836598 
0, 'BL', 10, 11, 'BL', -17.575414053524554, 4.0068992684715, 17.805530311363583, -3.4682224903709766 
0, 'BL', 13, 14, 'BL', 13.447490811348985, -1.4924356784920292, -13.178815416983326, 2.039469029847112 
0, 'BL', 1, 2, 'BL', 44.892266372935296, -2.1649846646760125, -44.55745164735913, -2.9275373738059898 
1, 'BL', 5, 6, 'BL', -26.10228920971182, 18.796065905048522, 26.10228920971182, -16.789844199793833 
0, 'BL', 2, 3, 'BL', 22.15213315536596, -0.7597440896759053, -21.950218582500028, -3.3661117460460446 
0, 'BL', 4, 5, 'BL', -42.57552343369093, 8.66321634618589, 42.79958793986441, -7.956448079896745 
1, 'BL', 9, 14, 'BL', -0.14335817727877043, 8.285574210292566, 0.21810480541097377, -8.126578117818383 
0, 'BL', 2, 5, 'BL', 6.640930373964693, 1.654675497272592, -6.612498881642665, -5.50935827031924 
