--contingency generator
conID,genID,busID,unitID,q(MW) 
1, '1 ', 8, '1 ', 7.1584133553127405
1, '1 ', 1, '1 ', -0.7121193543886436
1, '1 ', 3, '1 ', 17.993263036225905
1, '1 ', 2, '1 ', 17.235069806472506
1, '1 ', 6, '1 ', -7.578554554882645
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg) 
0, 4, 1.0684145834376084, 38.5053910605277
1, 11, 1.0867573180824945, 1.2321888586794885
0, 7, 1.091971558888141, 40.46913912996669
1, 10, 1.0823114436598944, 0.0038376989349278496
1, 14, 1.0670861083590293, -0.7399332092032487
0, 12, 1.0878657573125563, 40.765941864274275
1, 4, 1.068261592295266, -0.4706928841381259
0, 13, 1.0824507128761756, 40.410340985374525
1, 12, 1.0637438206108967, 0.8627353991272722
0, 14, 1.0699438996497985, 38.418149353962264
1, 8, 1.1000000000359205, 5.744266569795487
0, 6, 1.1000000000450698, 41.62403817854781
1, 5, 1.0685037204537953, 0.2610345783576041
1, 6, 1.1000000000448538, 2.712113831893739
0, 5, 1.0685671264408996, 39.22840548652025
1, 7, 1.091591580348224, 1.4568025418894393
0, 3, 1.0579952753076767, 35.56482410416259
0, 8, 1.100000000037733, 44.7547337672864
1, 1, 1.0838228660771205, 1.3220765126937422
1, 13, 1.0768150617615055, 1.1092000127788817
1, 9, 1.0886907864686932, -0.22921453505172978
0, 11, 1.0871334529547612, 40.19459988119503
0, 9, 1.0894247093978953, 38.80470106569489
1, 3, 1.0579952753089776, -3.406938141274809
1, 2, 1.080664157373331, 0.8401036468610704
0, 1, 1.0838228660794686, 40.29239964411659
0, 2, 1.0806641573768287, 39.81126684859157
0, 10, 1.0829601569557983, 39.01618985214151
--end of bus
--Delta
contingency id,Delta(MW) 
1, 0.0014822175938441215 
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar) 
1, 'BL', 1, 2, 'BL', 16.7700269320228, -2.737961568464243, -16.723606593445083, -3.3045288361909115 
1, 'BL', 2, 5, 'BL', 8.306820148478351, 2.850583192491399, -8.261600290346763, -6.708013648659744 
1, 'BL', 4, 9, 'BL', -0.9094886778282608, 2.726663024574094, 0.9094886778282608, -2.688854861952933 
1, 'BL', 4, 7, 'BL', -19.17750788687166, 0.6884644534032986, 19.17750788687166, -0.043015737887344585 
1, 'BL', 6, 13, 'BL', 28.267406831339372, 5.579214997832196, -27.81355554707278, -4.685440140667993 
1, 'BL', 7, 8, 'BL', -50.961556582804626, -3.303023937841317, 50.961556582804626, 7.158413355313655 
1, 'BL', 4, 5, 'BL', -31.568356463489522, 9.614824395827327, 31.695752612723027, -9.21297781573594 
0, 'BL', 12, 13, 'BL', 3.117717461133793, -0.4873626940438385, -3.099129027901995, 0.5041808003011852 
0, 'BL', 1, 5, 'BL', 10.824348823731242, 1.990961137032059, -10.75950055528918, -7.421871455476094 
0, 'BL', 10, 11, 'BL', -11.463834676216038, 2.6737970931242216, 11.560778190439066, -2.446863019061766 
0, 'BL', 13, 14, 'BL', 10.939249407043974, -1.2816582555000195, -10.762280076105952, 1.6419745636557082 
0, 'BL', 1, 2, 'BL', 16.74374465411279, -2.729597239129589, -16.697468621016583, -3.3133337514907453 
1, 'BL', 5, 6, 'BL', -21.40030940391563, 21.594381410672952, 21.40030940391563, -19.82213841787103 
0, 'BL', 2, 3, 'BL', 43.62012085406681, 1.0485744790274794, -42.84929585946175, -2.810014201922172 
0, 'BL', 4, 5, 'BL', -31.136163540658686, 9.699825939915627, 31.260545805864922, -9.307486075657835 
1, 'BL', 9, 14, 'BL', 6.492583089206278, 5.663970527894605, -6.412971802982213, -5.494626655899822 
0, 'BL', 2, 5, 'BL', 8.3353518322335, 2.8022792554709213, -8.290128759720204, -6.659934317827492 
