--contingency generator
conID,genID,busID,unitID,q(MW) 
1, '1 ', 8, '1 ', 9.660990555607468
1, '1 ', 1, '1 ', 81.48795241606167
1, '1 ', 3, '1 ', -9.6060927536389
1, '1 ', 2, '1 ', -32.336819974298514
1, '1 ', 6, '1 ', -4.438472550609511
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg) 
0, 4, 1.0418472076976482, 41.239034761636844
1, 11, 1.0432870854221084, 107.89229578829253
0, 7, 1.0825289134224956, 42.72305536504839
1, 10, 1.027569410398272, 105.83042710455157
1, 14, 1.0149175451097536, 105.68161441155237
0, 12, 1.053699409494199, 40.27931258057382
1, 4, 1.0414462468450434, 109.78394551923745
0, 13, 1.046042548100944, 39.94504984218862
1, 12, 1.0190424114429326, 107.40845846875362
0, 14, 1.0206163984855572, 37.476686863869666
1, 8, 1.0976024733696514, 112.48387566179018
0, 6, 1.0702695252993517, 41.50673309108976
1, 5, 1.0464255843614052, 110.43461627569273
1, 6, 1.0692528374923596, 110.09693216142986
0, 5, 1.046760147192811, 41.88256024002437
1, 7, 1.0823409310172014, 111.2697163687958
0, 3, 1.0202656495821463, 41.68896067677959
0, 8, 1.0976024730707683, 43.93625145365573
1, 1, 1.0999996418809004, 111.7814899808244
1, 13, 1.0369634752781722, 107.96295538495713
1, 9, 1.0302863664448667, 105.17245368365617
0, 11, 1.0453443247072305, 39.3883161449276
0, 9, 1.0334030416024826, 36.79843147291989
1, 3, 1.0202656504112595, 110.23865171551978
1, 2, 1.0648592424440853, 112.39229544807459
0, 1, 1.0999996411700423, 43.23358220263758
0, 2, 1.0648592398811079, 43.84490787718577
0, 10, 1.0304261034278777, 37.41671780322658
--end of bus
--Delta
contingency id,Delta(MW) 
1, 0.002951689882704479 
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar) 
1, 'BL', 1, 2, 'BL', 0.29817188390438787, 62.14817561729683, 0.3856928353350213, -66.24819617270828 
1, 'BL', 2, 5, 'BL', 23.22094721906683, 2.09587788883789, -22.941865650290083, -5.099836626923775 
1, 'BL', 4, 9, 'BL', 16.006835730122294, 9.239366464319943, -16.006835730122294, -7.594663059887068 
1, 'BL', 4, 7, 'BL', -14.290487460203888, -8.709424290592551, 14.290487460203888, 9.22592320652302 
1, 'BL', 6, 13, 'BL', 36.133774491814506, 8.744875857611987, -35.334095721285166, -7.170058723267971 
1, 'BL', 7, 8, 'BL', -14.290487460203389, -9.22592320652177, 14.290487460203389, 9.660990555609374 
1, 'BL', 4, 5, 'BL', -30.204725779328896, -2.5720935162921705, 30.31783427719631, 2.928872456006957 
0, 'BL', 12, 13, 'BL', 3.4609009214769344, 0.22061492183158293, -3.4369710129633404, -0.1989640522239995 
0, 'BL', 1, 5, 'BL', 17.538015639195223, 19.17535775627266, -17.181555322023016, -23.375898921747023 
0, 'BL', 10, 11, 'BL', -19.087973400412437, 0.48275425193025967, 19.36970932302509, 0.17675846782861981 
0, 'BL', 13, 14, 'BL', 13.780751094190478, 1.1585460083106796, -13.481989990079313, -0.5502570043162507 
0, 'BL', 1, 2, 'BL', 0.28199823989041306, 62.15366807687292, 0.40197994605046006, -66.2533421831613 
1, 'BL', 5, 6, 'BL', 2.8075230141405614, 23.852588421941334, -2.8075230141405614, -22.69940978803811 
0, 'BL', 2, 3, 'BL', 25.021126187819675, 15.952588332450546, -24.62084004466712, -19.02913234568524 
0, 'BL', 4, 5, 'BL', -29.885152446196912, -2.517402032773134, 29.995777854578137, 2.866348545652727 
1, 'BL', 9, 14, 'BL', -0.5539424167756124, 6.131996067569332, 0.5993362958691364, -6.035437204936045 
0, 'BL', 2, 5, 'BL', 23.21437117282082, 1.895046399882517, -22.93624124404201, -4.903122202822715 
