--contingency generator
conID,genID,busID,unitID,q(MW) 
1, '1 ', 8, '1 ', 3.2997102917418313
1, '1 ', 1, '1 ', -14.110000470960427
1, '1 ', 3, '1 ', 22.593366485248833
1, '1 ', 2, '1 ', 48.01258361949407
1, '1 ', 6, '1 ', -0.10316477491755188
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg) 
0, 4, 1.0665255638806872, -106.49002338098164
1, 11, 1.068101649702829, 3.7704665406838203
0, 7, 1.0951731354560403, -104.70767947142444
1, 10, 1.0493308606305394, 1.7155745560581928
1, 14, 1.0409948738577317, 1.4252585467332113
0, 12, 1.0832903737636863, -108.61586849290806
1, 4, 1.0661481616768922, 7.070978465006593
0, 13, 1.0773339617921258, -108.8766428980927
1, 12, 1.049107184123019, 3.668236140713612
0, 14, 1.0465822517745065, -111.81495760922107
1, 8, 1.0999106917487127, 10.344494086438983
0, 6, 1.099999791665068, -107.48780073041107
1, 5, 1.0690349571966584, 8.099365724595396
1, 6, 1.0991564887601326, 6.1126473527345295
0, 5, 1.0693356003660284, -105.46803589392285
1, 7, 1.094996062321284, 8.8550970521967
0, 3, 1.056373961281886, -109.4260455549408
0, 8, 1.099910663580934, -103.219236980854
1, 1, 1.0999942493531703, 12.178506812850413
1, 13, 1.0684158707416214, 4.199941727736728
1, 9, 1.0498645060029685, 1.1851202103523881
0, 11, 1.0700296713020276, -109.74990847762415
0, 9, 1.0529230959068172, -112.21399803542008
1, 3, 1.056373996007466, 4.138772321404733
1, 2, 1.0999959194281512, 10.695286874851014
0, 1, 1.0999942050582099, -101.385524385718
0, 2, 1.0999958751868977, -102.86812766645926
0, 10, 1.0521027368016187, -111.72030677686065
--end of bus
--Delta
contingency id,Delta(MW) 
1, 0.0028382962603382537 
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar) 
1, 'BL', 1, 2, 'BL', 48.00509388354385, -18.235460987032866, -47.59975557457676, 13.08427576162353 
1, 'BL', 2, 5, 'BL', 33.6618348397092, 7.162101263251657, -33.08819757174095, -9.481059636870441 
1, 'BL', 4, 9, 'BL', 21.297798795104327, 11.063552940401706, -21.297798795104327, -8.417191852040474 
1, 'BL', 4, 7, 'BL', -17.771602648605057, -2.2593918690961345, 17.771602648605057, 2.8241400594256447 
1, 'BL', 6, 13, 'BL', 34.59417520265367, 8.873116077131954, -33.89580201078951, -7.497801251672627 
1, 'BL', 7, 8, 'BL', -17.77158951885097, -2.824068435959134, 17.77158951885097, 3.2997767664335242 
1, 'BL', 4, 5, 'BL', -46.12093248673955, 7.748699154480164, 46.3778130313508, -6.938419024623272 
0, 'BL', 12, 13, 'BL', 2.805246047253945, 0.13371124467431628, -2.790397883448918, -0.12027719170794171 
0, 'BL', 1, 5, 'BL', 39.2304293092911, 3.9785889663460807, -38.521601466678845, -6.842019114700463 
0, 'BL', 10, 11, 'BL', -20.46520815719785, -0.7307890836817137, 20.7760561326306, 1.45844990807376 
0, 'BL', 13, 14, 'BL', 17.315296788734912, 1.4410585096411523, -16.87069094213767, -0.5358240468039526 
0, 'BL', 1, 2, 'BL', 47.98505143538546, -18.229465932245603, -47.58005011363571, 13.077252349347646 
1, 'BL', 5, 6, 'BL', 17.343117199564322, 22.09112646956629, -17.343117199564322, -20.58017403828694 
0, 'BL', 2, 3, 'BL', 69.76930885935207, 8.868247307542106, -67.82739420871204, -5.780672134464112 
0, 'BL', 4, 5, 'BL', -45.82035660956842, 7.840094386534474, 46.073979179111234, -7.04009091062062 
1, 'BL', 9, 14, 'BL', -0.06008920268976681, 3.4758082777436243, 0.07402573148328884, -3.4461634138053796 
0, 'BL', 2, 5, 'BL', 33.65650636050674, 6.975954521714129, -33.08464334712687, -9.301442082808762 
1, 'BL', 9, 10, 'BL', -10.334805505375527, 4.609432139843875, 10.371762269553756, -4.51126028907197 
1, 'BL', 3, 4, 'BL', -30.960493066457133, 6.2413028738874345, 31.565142912536913, -6.1397143400985215 
0, 'BL', 6, 13, 'BL', 25.363238163695883, 6.527032104841851, -24.98826264741092, -5.788588257427591 
0, 'BL', 2, 4, 'BL', 44.516889421266086, 5.4813926516360425, -43.537857969710046, -6.501466073091933 
1, 'BL', 1, 5, 'BL', 39.224580127898506, 4.125716794540608, -38.51503371492245, -6.984599368036356 
1, 'BL', 10, 11, 'BL', -21.263799007859973, -0.7961039560977383, 21.601197967807593, 1.585917706702844 
0, 'BL', 4, 9, 'BL', 20.781706020244545, 10.482915054323087, -20.781706020244545, -7.995570282783177 
1, 'BL', 6, 11, 'BL', 26.507924576371977, 4.996326679574338, -25.935885492284342, -3.7984052874388112 
1, 'BL', 12, 13, 'BL', -7.372401518836796, -1.9619313120879553, 7.489224781382916, 2.067628549629717 
1, 'BL', 2, 4, 'BL', 44.59907719008771, 5.6910813302272345, -43.61498894235024, -6.6944430678107665 
0, 'BL', 9, 10, 'BL', -9.540816423077047, 4.662523114072201, 9.57317204076594, -4.57657373668394 
0, 'BL', 3, 4, 'BL', -31.087131964981864, 6.060346026082243, 31.695008331341057, -5.951037499966333 
0, 'BL', 9, 14, 'BL', -1.3701701566970712, 3.123296870824902, 1.3835070249396324, -3.0949275652200754 
0, 'BL', 6, 11, 'BL', 25.64499228052179, 4.789720060119237, -25.110743670263474, -3.670936646975747 
1, 'BL', 13, 14, 'BL', 15.943214764778475, 0.9623657249869098, -15.561209862993422, -0.1845891736545866 
1, 'BL', 2, 3, 'BL', 69.75542552774294, 8.869907263245523, -67.81424844054895, -5.785439836528326 
0, 'BL', 4, 7, 'BL', -17.763087472803438, -2.1518028006215673, 17.763087472803438, 2.71478474129151 
0, 'BL', 6, 12, 'BL', 10.290732902662597, 2.331013925436878, -10.177642648029547, -2.095641555103441 
0, 'BL', 7, 8, 'BL', -17.763073969019068, -2.7147123872575776, 17.763073969019068, 3.1889329345908664 
0, 'BL', 5, 6, 'BL', 17.649968402032673, 21.87059966547139, -17.649968402032673, -20.35850010585324 
--end of line flow
