--contingency generator
conID,genID,busID,unitID,q(MW) 
2, 76, 307, 76, -12.839156838019813
1, 7, 102, 7, -10.142031331417556
10, 91, 322, 91, 8.568272006422625
5, 59, 222, 59, 8.349840979072962
10, 24, 121, 24, 109.6223704596502
5, 77, 307, 77, 15.003749008101549
2, 91, 322, 91, 8.481897922714936
5, 82, 315, 82, 1.0018300082201455
6, 83, 315, 83, 3.5510424156362546
1, 49, 215, 49, 2.4386044609085755
6, 11, 107, 11, -9.240954087108284
7, 16, 115, 16, 4.243718677832458
3, 27, 122, 27, -0.5721540456250319
9, 6, 102, 6, -0.979553559918442
1, 11, 107, 11, -9.18442594370086
8, 73, 302, 73, -13.973491229197096
10, 97, 323, 97, 13.609726801607355
7, 52, 215, 52, 5.607792306065791
2, 54, 215, 54, 100.23308572811354
5, 25, 122, 25, 7.114322275407084
2, 22, 116, 22, 1.8735541034974765
1, 29, 122, 29, 1.0555393814336511
2, 58, 222, 58, 4.876588705234397
2, 56, 218, 56, 65.58143249666217
3, 58, 222, 58, 4.873927195725226
4, 53, 215, 53, 4.751203238683007
6, 90, 321, 90, 30.272202602836924
3, 72, 302, 72, -0.039030225777715866
6, 85, 315, 85, 2.1320829113496638
2, 8, 102, 8, 33.75080114585102
6, 28, 122, 28, 5.308389493283152
3, 25, 122, 25, 6.094927528080566
4, 91, 322, 91, 8.466056188213873
9, 71, 302, 71, 3.090650920857805
6, 25, 122, 25, 6.110398042122032
8, 37, 201, 37, -11.615613204302413
9, 33, 123, 33, -4.285085366007552
4, 23, 118, 23, -23.50568256801694
6, 87, 315, 87, 62.53918841168485
2, 87, 315, 87, 62.539399051801865
5, 4, 101, 4, -23.047749837964563
10, 84, 315, 84, 2.9170551532002817
5, 57, 221, 57, 40.94152901904789
1, 92, 322, 92, -3.40182322108305
4, 88, 316, 88, 56.861988766482696
5, 66, 223, 66, 66.45917633422758
7, 22, 116, 22, -0.24142344832966506
1, 18, 115, 18, 1.2265301568680569
6, 53, 215, 53, 4.897987553929955
6, 88, 316, 88, 59.5490508409271
1, 54, 215, 54, 99.90864679660727
10, 65, 223, 65, -7.356971993743013
4, 22, 116, 22, 99.01784057994976
3, 73, 302, 73, -14.88409005180856
2, 80, 313, 80, 8.12984549442951
7, 3, 101, 3, -21.33274663938136
9, 8, 102, 8, -5.2480996338001695
8, 93, 322, 93, 5.491477282245863
3, 95, 322, 95, 4.195376312671489
9, 9, 107, 9, 8.458977995430375
9, 67, 301, 67, -3.1330731419475324
2, 45, 213, 45, 16.471124337519445
10, 78, 313, 78, -14.430206275683092
2, 53, 215, 53, 4.8147737752513535
3, 14, 113, 14, -31.51100820288995
4, 90, 321, 90, 29.678959652696022
8, 41, 202, 41, -36.24040565506355
9, 83, 315, 83, 3.565157949210788
7, 40, 202, 40, -9.499796306406239
10, 14, 113, 14, -32.30167890296073
2, 78, 313, 78, -12.813570954282214
8, 62, 222, 62, -1.6355600013120246
7, 77, 307, 77, 15.01167174787709
3, 78, 313, 78, -12.660829757486631
7, 69, 301, 69, -34.82298619767924
4, 6, 102, 6, -0.8956946682165093
10, 30, 122, 30, -1.860684661612547
7, 27, 122, 27, -0.5806539286865579
2, 34, 201, 34, -4.004900818313386
8, 80, 313, 80, 21.966548667090088
9, 34, 201, 34, -3.988238400645147
10, 63, 222, 63, -2.17092276342286
8, 7, 102, 7, -10.240625739588516
10, 40, 202, 40, -9.476806287598288
7, 30, 122, 30, -2.0285356958184293
3, 71, 302, 71, 3.0841451935137316
9, 85, 315, 85, 2.150331483115653
4, 15, 114, 15, -27.398704205821378
4, 17, 115, 17, 5.0835706811198955
5, 5, 102, 5, -4.517086849608333
8, 6, 102, 6, -0.9658179347610345
3, 42, 207, 42, 15.525269437421901
4, 4, 101, 4, -22.865455893294264
9, 37, 201, 37, -11.641133745696791
1, 14, 113, 14, -32.07741363591706
5, 28, 122, 28, 6.769193605205291
2, 57, 221, 57, 40.928844510644
7, 61, 222, 61, 3.0812119819804504
10, 90, 321, 90, 33.816773199974484
8, 17, 115, 17, 2.580540341914682
8, 28, 122, 28, 5.316271161074436
4, 84, 315, 84, 2.8866324075826166
4, 54, 215, 54, 99.08950982460239
